,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,net_capital
4557,33,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,40,US,0,0
4558,67,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4559,47,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,1,-2415
4561,32,Government,No formal education,4,Married,Service,Spouse,White,Male,40,US,0,0
4562,29,Private,High School Graduate,9,Never Married,Service,Not family,White,Female,40,Other,0,0
4564,33,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4565,55,Private,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4566,31,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,0
4567,32,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,0,0
4569,36,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,50,US,0,0
4570,58,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,27,US,0,0
4571,34,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,1,-1902
4572,19,Private,Some High School,7,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
4573,21,Private,High School Graduate,9,Never Married,White Collar,Not family,Other,Female,40,US,0,0
4574,36,Self-employed,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
4575,37,Private,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Female,40,US,1,15024
4579,43,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,38,US,0,0
4581,57,Private,No formal education,3,Previously Married,Blue Collar,Not family,White,Male,40,US,0,6497
4583,39,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Female,38,US,0,0
4584,54,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,0
4586,21,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,35,US,0,0
4587,65,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,38,US,0,0
4588,30,Private,Collage/Associate Degree,10,Married,Service,Spouse,White,Female,40,US,0,0
4590,26,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,0,4064
4595,42,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Male,40,US,1,0
4596,39,Self-employed,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,Other,Male,30,US,0,0
4597,55,Private,Advanced Degree,16,Married,White Collar,Spouse,White,Male,60,US,1,0
4598,24,Government,Advanced Degree,14,Married,White Collar,Not family,Other,Female,10,Other,0,0
4600,53,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
4601,44,Private,Some High School,7,Previously Married,Service,Not family,Other,Female,60,US,0,0
4602,40,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,Other,Female,40,US,0,0
4603,48,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,1,7688
4606,35,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Female,12,US,0,0
4607,20,Unknown,Collage/Associate Degree,10,Never Married,Unknown,Not family,White,Female,20,US,0,0
4608,43,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4609,37,Government,High School Graduate,9,Married,Service,Spouse,White,Female,25,US,0,0
4610,30,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,Other,0,0
4611,41,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Male,50,US,0,0
4612,38,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,60,US,1,0
4613,77,Unknown,Some High School,5,Married,Unknown,Spouse,Other,Male,40,US,0,0
4614,42,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,0,0
4616,36,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,40,US,0,3674
4618,27,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4620,40,Private,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,40,US,0,0
4622,49,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,US,1,0
4624,29,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
4625,47,Private,Advanced Degree,15,Married,White Collar,Spouse,Other,Male,55,Other,1,99999
4627,58,Unknown,No formal education,4,Married,Unknown,Spouse,White,Male,24,US,0,0
4628,29,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
4629,45,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,24,Other,1,0
4630,30,Private,Some High School,8,Married,Blue Collar,Spouse,White,Male,50,US,0,0
4632,59,Private,Some High School,6,Married,Blue Collar,Spouse,White,Male,40,US,1,-1485
4633,47,Private,No formal education,4,Married,Service,Not family,White,Female,30,US,0,0
4634,41,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,Other,Male,40,US,0,3137
4637,40,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,60,US,0,0
4638,66,Government,Some High School,6,Previously Married,Service,Not family,Other,Female,40,US,0,0
4639,30,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Male,45,Unknown,1,14084
4641,58,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,60,US,1,15024
4642,21,Private,No formal education,4,Never Married,Service,Other Relative,White,Male,48,Other,0,0
4643,59,Private,Some High School,5,Previously Married,Service,Not family,Other,Female,40,US,0,0
4644,35,Government,Collage/Associate Degree,10,Married,Service,Spouse,White,Male,40,US,0,0
4645,45,Private,Some High School,5,Married,White Collar,Spouse,Other,Male,40,US,1,5178
4646,30,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4647,33,Private,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Male,40,Other,0,0
4648,26,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,15,US,0,0
4649,48,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Female,35,US,0,0
4651,36,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,0,0
4652,48,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,38,US,0,0
4653,30,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,5013
4654,33,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,1,0
4655,19,Unknown,Some High School,5,Never Married,Unknown,Not family,White,Female,25,US,0,0
4657,53,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,US,1,0
4659,38,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,50,US,1,7298
4660,34,Private,Collage/Associate Degree,10,Never Married,Service,Not family,White,Male,50,US,0,0
4661,45,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,52,US,1,0
4665,35,Private,High School Graduate,9,Previously Married,Service,Not family,White,Female,30,US,0,0
4666,45,Private,High School Graduate,9,Married,White Collar,Spouse,Other,Male,8,US,0,0
4668,50,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,0,0
4669,38,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
4670,33,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,50,US,1,7298
4671,46,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,35,Unknown,0,0
4672,25,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,50,US,0,6849
4673,64,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4674,62,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,10,US,0,0
4675,32,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,60,US,1,0
4677,61,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,55,US,0,0
4678,40,Government,Advanced Degree,16,Never Married,White Collar,Not family,Other,Female,40,US,0,0
4679,21,Private,High School Graduate,9,Never Married,White Collar,Other Relative,White,Female,40,US,0,0
4680,39,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,15024
4681,35,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,45,US,0,0
4685,34,Unknown,Collage/Associate Degree,10,Married,Unknown,Spouse,White,Female,20,US,1,0
4689,31,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4691,56,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,30,Other,0,0
4692,55,Self-employed,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,12,US,1,0
4694,46,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,45,US,1,15024
4695,32,Government,High School Graduate,9,Married,Service,Spouse,White,Male,40,US,0,0
4696,28,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
4697,27,Private,No formal education,4,Never Married,Service,Other Relative,White,Male,35,Other,0,0
4698,23,Private,Some High School,5,Married,Blue Collar,Not family,White,Male,40,Other,0,0
4699,59,Private,Some High School,6,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4700,26,Private,Some High School,8,Never Married,Blue Collar,Other Relative,Other,Male,48,Other,0,0
4701,36,Private,Some High School,6,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
4703,33,Private,Some High School,5,Previously Married,Blue Collar,Not family,White,Male,70,US,0,0
4706,48,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,43,US,0,0
4707,27,Self-employed,Some High School,6,Married,Blue Collar,Spouse,White,Male,48,US,0,0
4709,38,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
4710,26,Private,Collage/Associate Degree,10,Previously Married,Blue Collar,Not family,White,Male,43,US,0,0
4713,32,Government,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,40,US,0,0
4715,22,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Male,40,US,0,0
4716,38,Government,High School Graduate,9,Never Married,Service,Not family,Other,Female,38,US,0,114
4717,34,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,50,US,1,-1848
4718,46,Private,No formal education,2,Previously Married,Service,Not family,Other,Female,30,Other,0,0
4719,39,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,25,US,0,0
4720,79,Self-employed,High School Graduate,9,Previously Married,Service,Not family,White,Female,24,US,0,0
4721,60,Unknown,Bachelor's Degree,13,Married,Unknown,Spouse,White,Male,8,US,1,0
4723,31,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,65,US,0,2407
4724,37,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,Other,Male,77,Other,0,3137
4725,23,Private,High School Graduate,9,Never Married,Blue Collar,Other Relative,White,Male,40,US,0,0
4726,31,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,45,Other,0,-1579
4727,29,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4729,69,Unknown,Collage/Associate Degree,10,Previously Married,Unknown,Not family,White,Female,20,US,0,0
4730,55,Government,High School Graduate,9,Previously Married,Service,Not family,White,Female,38,US,0,0
4731,43,Private,High School Graduate,9,Previously Married,Blue Collar,Other Relative,White,Male,40,US,0,0
4732,23,Private,No formal education,4,Never Married,Blue Collar,Not family,Other,Male,36,Other,0,0
4733,29,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Male,35,Other,0,0
4735,22,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,42,US,0,0
4736,25,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,84,US,1,7298
4738,25,Government,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,Other,Male,40,US,0,0
4739,33,Government,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
4740,33,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,1,0
4741,31,Private,Advanced Degree,16,Never Married,White Collar,Not family,White,Female,28,US,0,0
4742,30,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,45,US,1,-1887
4743,55,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,0
4744,36,Private,Some High School,8,Never Married,White Collar,Not family,White,Male,50,US,0,4650
4745,47,Unknown,High School Graduate,9,Previously Married,Unknown,Not family,White,Female,40,US,0,0
4746,28,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,1,8614
4747,42,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,40,US,1,0
4749,62,Government,Bachelor's Degree,13,Previously Married,White Collar,Not family,Other,Female,40,US,0,0
4750,65,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,35,US,1,0
4751,23,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,0
4752,60,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,32,US,0,0
4753,47,Private,No formal education,4,Married,Blue Collar,Spouse,Other,Male,60,US,1,0
4754,50,Self-employed,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4755,70,Unknown,Bachelor's Degree,13,Married,Unknown,Spouse,White,Male,6,US,0,0
4756,32,Self-employed,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4758,31,Private,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,40,US,1,14344
4759,76,Private,Some High School,6,Previously Married,White Collar,Not family,Other,Female,12,US,0,0
4760,54,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,Other,Female,60,US,0,0
4761,32,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4762,31,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,52,US,0,0
4764,65,Self-employed,Advanced Degree,15,Previously Married,White Collar,Not family,White,Male,40,US,0,-1668
4766,63,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,40,US,0,0
4768,40,Government,Advanced Degree,14,Married,White Collar,Spouse,Other,Male,40,Other,1,-1902
4769,26,Government,Collage/Associate Degree,10,Never Married,Blue Collar,Not family,White,Female,40,US,0,0
4771,34,Government,High School Graduate,9,Married,Service,Spouse,White,Male,50,US,0,0
4772,66,Government,Collage/Associate Degree,10,Previously Married,Service,Other Relative,White,Female,40,Unknown,1,7896
4776,31,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
4777,22,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,20,US,0,0
4780,49,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,1,15024
4782,67,Unknown,Bachelor's Degree,13,Married,Unknown,Spouse,White,Male,60,US,1,9386
4785,25,Private,Collage/Associate Degree,10,Never Married,Blue Collar,Other Relative,Other,Female,40,Other,0,0
4788,37,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,45,US,0,0
4789,41,Government,High School Graduate,9,Married,Service,Spouse,White,Male,40,US,0,0
4790,40,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,20,US,0,0
4791,44,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4793,58,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,20,US,1,0
4795,34,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,0,0
4797,46,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
4798,36,Government,High School Graduate,9,Never Married,Blue Collar,Not family,Other,Male,40,US,0,0
4799,59,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,38,US,0,0
4800,29,Private,Some High School,8,Married,Blue Collar,Spouse,White,Male,40,Other,0,0
4801,50,Unknown,Advanced Degree,14,Never Married,Unknown,Not family,White,Male,40,US,0,0
4804,48,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,70,US,0,0
4805,51,Government,Advanced Degree,16,Never Married,White Collar,Not family,White,Female,70,US,1,-1564
4806,36,Private,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,45,US,1,8614
4807,42,Government,Some High School,7,Previously Married,White Collar,Not family,White,Male,50,Other,1,7430
4808,49,Government,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4810,40,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,60,US,1,-1564
4811,26,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,40,US,0,0
4812,69,Unknown,High School Graduate,9,Previously Married,Unknown,Not family,White,Female,40,US,1,0
4816,30,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,0
4817,27,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Female,40,US,0,0
4821,47,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,50,US,0,0
4822,51,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Male,35,US,0,0
4823,34,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,0,0
4824,47,Private,High School Graduate,9,Previously Married,Service,Not family,Other,Male,9,US,0,0
4825,47,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,44,US,1,0
4826,20,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,Other,Female,40,Other,0,0
4827,34,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,54,Unknown,1,0
4828,31,Private,Some High School,7,Previously Married,Service,Not family,White,Female,40,US,0,0
4830,52,Private,No formal education,3,Married,Blue Collar,Other Relative,White,Male,40,Other,0,0
4831,56,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4832,53,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
4833,26,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
4834,81,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,20,US,0,0
4835,28,Unknown,Some High School,6,Never Married,Unknown,Not family,Other,Female,40,US,0,0
4836,57,Government,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Male,48,US,1,0
4837,34,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
4838,31,Unknown,Some High School,6,Married,Unknown,Spouse,White,Male,40,US,0,0
4840,20,Private,High School Graduate,9,Never Married,Service,Not family,White,Male,40,US,0,-2001
4841,68,Government,Collage/Associate Degree,10,Previously Married,White Collar,Other Relative,Other,Female,40,US,0,2346
4842,60,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,32,US,0,0
4843,37,Government,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4844,25,Private,No formal education,4,Never Married,Blue Collar,Not family,White,Male,40,US,0,0
4845,36,Government,High School Graduate,9,Married,White Collar,Spouse,White,Male,40,US,0,0
4847,34,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,60,US,1,0
4848,31,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,70,US,0,0
4849,47,Self-employed,Bachelor's Degree,13,Married,Blue Collar,Spouse,White,Male,60,US,0,0
4850,60,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,42,US,1,0
4851,75,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,24,US,0,0
4854,25,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,Other,Female,40,Other,0,-1092
4856,32,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,50,US,0,0
4857,57,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,20,US,0,0
4858,43,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,60,US,1,0
4859,18,Self-employed,High School Graduate,9,Never Married,Blue Collar,Other Relative,White,Male,40,US,0,0
4860,41,Government,Bachelor's Degree,13,Previously Married,White Collar,Not family,Other,Female,40,US,0,0
4862,35,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,90,US,1,5178
4868,22,Private,Collage/Associate Degree,10,Never Married,White Collar,Other Relative,White,Male,65,US,0,0
4869,33,Private,Collage/Associate Degree,10,Previously Married,Service,Not family,White,Female,50,US,0,0
4870,42,Self-employed,Advanced Degree,15,Married,White Collar,Spouse,White,Male,38,US,1,0
4872,39,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,1,0
4873,35,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,45,US,1,0
4874,50,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,38,US,1,-1902
4875,49,Government,Advanced Degree,14,Married,White Collar,Spouse,White,Male,50,US,1,0
4877,47,Government,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Female,40,US,0,0
4878,46,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,40,US,1,0
4880,37,Private,Some High School,7,Never Married,Blue Collar,Not family,White,Male,60,US,1,0
4881,25,Private,Bachelor's Degree,13,Never Married,Blue Collar,Not family,White,Male,40,Other,0,0
4882,29,Private,Some High School,6,Married,Blue Collar,Spouse,White,Male,40,US,0,5013
4883,26,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,45,US,0,0
4884,26,Unknown,Collage/Associate Degree,10,Never Married,Unknown,Not family,White,Female,40,US,0,0
4885,45,Self-employed,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4886,34,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,30,US,0,0
4888,43,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,40,US,1,0
4889,28,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,45,US,0,0
4890,51,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,75,US,0,0
4891,21,Private,Collage/Associate Degree,10,Never Married,Service,Not family,White,Female,35,US,0,0
4893,30,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Female,40,US,0,0
4894,46,Private,Advanced Degree,14,Married,White Collar,Spouse,White,Male,45,US,1,0
4895,38,Self-employed,High School Graduate,9,Never Married,Blue Collar,Not family,White,Male,50,US,0,0
4896,20,Private,High School Graduate,9,Never Married,White Collar,Not family,White,Male,40,US,0,0
4897,36,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,50,US,1,-1485
4898,37,Self-employed,Advanced Degree,15,Married,White Collar,Spouse,White,Male,50,US,1,99999
4899,44,Government,Advanced Degree,14,Never Married,White Collar,Not family,White,Male,42,US,0,-1876
4900,33,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
4901,45,Government,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
4902,47,Private,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4903,54,Private,High School Graduate,9,Married,Blue Collar,Spouse,Other,Male,40,US,1,-1902
4905,43,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,36,Other,1,0
4906,45,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Female,50,US,1,10520
4907,37,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,40,US,0,0
4909,55,Government,Advanced Degree,14,Previously Married,White Collar,Not family,White,Female,50,US,0,914
4913,23,Private,Bachelor's Degree,13,Never Married,Blue Collar,Other Relative,White,Female,40,Other,0,0
4914,35,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,7298
4917,25,Private,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Female,8,US,0,0
4918,41,Self-employed,High School Graduate,9,Married,White Collar,Spouse,White,Male,50,US,0,0
4919,23,Private,Collage/Associate Degree,10,Never Married,White Collar,Other Relative,Other,Female,24,Other,0,0
4920,41,Private,High School Graduate,9,Married,White Collar,Spouse,White,Female,40,US,0,0
4921,26,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,0,2407
4922,30,Government,Collage/Associate Degree,10,Never Married,White Collar,Not family,White,Male,40,US,0,0
4923,42,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,0
4924,35,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4925,28,Unknown,Bachelor's Degree,13,Never Married,Unknown,Not family,White,Male,18,US,0,0
4926,29,Private,Collage/Associate Degree,10,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4928,48,Government,Advanced Degree,14,Previously Married,White Collar,Not family,White,Male,40,US,1,0
4929,44,Self-employed,High School Graduate,9,Previously Married,Blue Collar,Not family,White,Male,60,US,0,0
4934,25,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,2407
4935,47,Government,High School Graduate,9,Married,White Collar,Spouse,Other,Male,40,US,1,0
4936,46,Government,Some High School,7,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4938,31,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Female,20,US,0,-1740
4941,33,Self-employed,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,1,0
4944,46,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,40,US,1,15024
4945,38,Government,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,44,US,0,0
4946,24,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,60,US,0,0
4948,60,Government,Collage/Associate Degree,10,Previously Married,White Collar,Not family,Other,Female,40,US,0,0
4949,44,Private,Bachelor's Degree,13,Married,White Collar,Spouse,White,Male,60,US,1,0
4951,40,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,60,US,1,0
4952,45,Self-employed,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,0
4953,49,Private,Collage/Associate Degree,10,Married,White Collar,Spouse,White,Male,50,US,1,-1902
4954,36,Private,High School Graduate,9,Previously Married,White Collar,Not family,White,Female,40,US,0,0
4955,65,Government,High School Graduate,9,Married,Service,Spouse,White,Male,8,US,0,0
4956,41,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,20,US,0,0
4963,47,Private,Advanced Degree,14,Never Married,White Collar,Not family,White,Female,35,US,0,0
4964,45,Self-employed,Collage/Associate Degree,10,Married,Blue Collar,Spouse,White,Male,45,US,0,0
4965,51,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
4967,44,Self-employed,Advanced Degree,14,Married,White Collar,Spouse,White,Female,60,US,1,-1902
4968,34,Private,High School Graduate,9,Never Married,White Collar,Other Relative,White,Male,50,US,0,0
4970,51,Unknown,High School Graduate,9,Married,Unknown,Spouse,White,Male,40,US,1,0
4971,46,Government,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4972,30,Private,Advanced Degree,16,Married,White Collar,Spouse,Other,Male,40,Other,1,-1977
4973,37,Private,Some High School,6,Married,Blue Collar,Spouse,White,Male,35,Other,0,0
4974,56,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,45,US,1,0
4975,29,Private,High School Graduate,9,Married,White Collar,Spouse,White,Male,45,US,0,0
4976,46,Self-employed,Advanced Degree,14,Married,Blue Collar,Spouse,White,Male,50,US,1,0
4977,55,Private,High School Graduate,9,Married,Blue Collar,Spouse,White,Male,40,US,0,0
4978,45,Private,Bachelor's Degree,13,Previously Married,White Collar,Not family,White,Male,48,US,1,8614
4979,34,Private,High School Graduate,9,Married,Blue Collar,Not family,White,Male,40,Other,0,0
4981,41,Private,Bachelor's Degree,13,Never Married,White Collar,Not family,White,Male,40,US,0,0
4983,34,Private,Advanced Degree,15,Married,White Collar,Spouse,White,Male,50,US,1,0
